"CLE_PRODUIT";"PRNOM";"LIBELLE_DCI";"CODEUD";"LIBELUD"
32399;"OMNITROPE 5MG/1ML5 INJ CART SUREP *";"(sans)";"-1";"(sans)"
4166;"NALADOR 500 ug, lyophilisat pr sol inj, flac";"(sans)";"amp";"ampoule(s)"
14589;"PHLEXY-VITS BTE 30 SACHETS 79273";"(sans)";"sachet";"sachet(s)-dose"
6339;"TALC OFFICINAL 120 G FL POUDRE";"(sans)";"flac";"flacon(s)"
4490;"PFD1 POUDRE 450G 1129192";"(sans)";"boite";"boîte(s)"
4274;"NUTRITION ENT ENFANT 1-6 ANS NUTRINI ENERGY 1.5 KCAL POCHE 500 ML 132185";"(sans)";"poche";"poche(s)"
67;"AVOINE BAIN SURGRAS 250 ML FL EXOMEGA";"(sans)";"flac";"flacon(s)"
13678;"CARNET DE SUIVI AVK";"(sans)";"CARNET";"carnet(s)"
304;"ALCOOL DE MENTHE FL 30 ML";"(sans)";"flac";"flacon(s)"
8;"ANTIPARASITAIRE DESINFECTANT FL 200 ML APAR";"(sans)";"flac_pulv";"flacon(s) pulvérisateur"
814;"BRYONIA 9CH GRANULES";"(sans)";"tube";"tube(s)"
5979;"STALLERGENE SOJA REF/190";"(sans)";"-1";"(sans)"
5966;"STALLERGENE KIWI REF/189";"(sans)";"-1";"(sans)"
418;"APIS MELLIFICA 9 CH GRANULES";"(sans)";"tube";"tube(s)"
4495;"SOLUTION DE REHYDRATATION ORALE PICOLITE BTE 10 SACHETS";"(sans)";"sachet";"sachet(s)-dose"
22520;"THIOGUANINE 10 MG/ML SUSP BUV FL 60ML";"(sans)";"-1";"(sans)"
7978;"STALLERGENE PORC REF 157";"(sans)";"-1";"(sans)"
25597;"CREATINE MONOHYDRATE 1G GELULE";"(sans)";"-1";"(sans)"
8528;"ETHANOL 96% V/V STERILE 10 ML AMP";"(sans)";"amp";"ampoule(s)"
8635;"HEXAQUINE, cpr";"(sans)";"cpr";"comprimé(s)"
17940;"GLUCAGEN KIT 1 mg/1 mL, pdr et solv pr sol inj, flac & srg";"(sans)";"flac";"flacon(s)"
11200;"PLACEBO ROUGE GELULE";"(sans)";"gel";"gélule(s)"
8996;"TEINTURE DE BENJOIN 60 ML FLACON";"(sans)";"flac";"flacon(s)"
8835;"GEL HYDROALCOOLIQUE CLINOGEL 100ML (Bur AD)REF 40809";"(sans)";"flac";"flacon(s)"
39680;"NUTRITION ENT 500 ML NUTRISON CONCENTRATED 2 KCAL  132387";"(sans)";"-1";"(sans)"
39681;"NUTRITION ENT ENFANT > 7 ANS NUTRINIMAX ENERGY 1.5 KCAL 500ML 132303";"(sans)";"-1";"(sans)"
10164;"LAIT PREMA PREMODILAC EXPERT 400G 26071";"(sans)";"pot";"pot(s)"
10512;"ACETIQUE ACIDE SOL AQUEUSE 3% 60 ML";"(sans)";"flac";"flacon(s)"
12869;"MEL GLUCID ORAL PREOPER PREOP 200ML RES CHIR DIG 1 571499";"(sans)";"flac";"flacon(s)"
10548;"ACETIQUE ACIDE SOL AQUEUSE 5% 60 ML";"(sans)";"flac";"flacon(s)"
10604;"CICLOSPORINE 20 MG/ML 2% FL 5ML COLLYRE";"(sans)";"flac";"flacon(s)"
32296;"NITRENDIPINE 5MG/ML SOL BUV";"(sans)";"-1";"(sans)"
9903;"COLLODION 250ML FL";"(sans)";"flac";"flacon(s)"
12186;"LACTATE SODIUM 11,2% 250 ML FL INJ IV PERF (antidote)";"(sans)";"flac";"flacon(s)"
22516;"SPRYCEL 70 mg, cpr";"(sans)";"cpr";"comprimé(s)"
30358;"FIASP 100 u/mL, sol inj, cart 3 mL PENFILL";"(sans)";"cart";"cartouche(s)"
13735;"NITRENDIPINE 5 MG/ML FL 60ML SUSP BUVABLE PREPARATION";"(sans)";"flac";"flacon(s)"
12932;"PANOTILE, sol pr instil auriculaire, flac 8 mL";"(sans)";"flac c-gttes";"flacon compte-gouttes"
10606;"VANCOMYCINE 50MG/ML 5% FL 10ML COLLYRE";"(sans)";"flac c-gttes";"flacon compte-gouttes"
10608;"AMPHOTEROCINE B LIPOSOMALE 5MG/ML COLLYRE";"(sans)";"flac";"flacon(s)"
14968;"ACIDE TRICHLORACETIQUE 30% FL 10 ML SOLUTION";"(sans)";"flac";"flacon(s)"
15243;"SACCHAROSE 24% UNIDOSE SOL BUV ALGOPEDOL";"(sans)";"rec_unidose";"récipient unidose"
14979;"NUTRITION ENT ENFANT > 7 ANS NUTRINIMAX ENERGY 1.5 KCAL MULTIFIBRE 500ML 132018";"(sans)";"-1";"(sans)"
14942;"KETOCAL VANILLE 300G 112517";"(sans)";"pot";"pot(s)"
12725;"NUMETAH G16%E 517 kcal/500 mL, émulsion pr perf, poche tri-comp";"(sans)";"poche";"poche(s)"
14825;"PHLEXY VITS BTE 180 CPR 49301";"(sans)";"cpr";"comprimé(s)"
24068;"ACETONE 60 ML FLACON";"(sans)";"flac";"flacon(s)"
15618;"VORICONAZOLE 10MG /ML 10ML COLLYRE";"(sans)";"-1";"(sans)"
29608;"RIBOFLAVINE 50 MG GELULE";"(sans)";"-1";"(sans)"
17833;"ZINC-CUIVRE OLIGOSOL, sol buv, amp 2 mL";"(sans)";"amp";"ampoule(s)"
30513;"FRUITI VITE BTE 30 SACHETS";"(sans)";"-1";"(sans)"
32395;"NEUPRO 8 mg/24 h, dispositif transdermique";"(sans)";"dtd";"dispositif(s) transdermique(s)"
16419;"NUTRITION ENT ENFANT 1-6 ANS NUTRINI STANDARD MULTI FIBRES POCHE 500ML 132039";"(sans)";"poche";"poche(s)"
16420;"NUTRITION ENT ENFANT 1-6 ANS NUTRINI STANDARD POCHE 500ML 132060";"(sans)";"poche";"poche(s)"
16016;"CITRULLINE 500 MG GELULE";"(sans)";"gel";"gélule(s)"
16465;"IMPACT ORAL VANILLE 1 X 3 BRIQUETTES 237 ML 7613033569562";"(sans)";"poche";"poche(s)"
15922;"VASELINE SALICYLEE 10% POT 100 G POMMADE";"(sans)";"tube";"tube(s)"
16407;"SUPPLEMENT LAIT MATERNEL POUR PREMA FORTEMA 200G A79875";"(sans)";"pot";"pot(s)"
16408;"SUPPLEMENT LAIT MATERNEL POUR PREMA NUTRIPEM 50G A105344";"(sans)";"pot";"pot(s)"
16415;"POUDRE EPAISSISSANTE CAROUBE GUMILK 400G A61128";"(sans)";"boite";"boîte(s)"
23162;"SILDENAFIL 2,5 MG/1ML  150MG/60ML SUSPENSION BUVABLE";"(sans)";"-1";"(sans)"
16489;"MODULEN IBD BOITE 400G 7613035091399";"(sans)";"boite";"boîte(s)"
22524;"FONCITRIL 4 000, granulés, sachet";"(sans)";"sachet";"sachet(s)-dose"
30218;"SERUM AUTOLOGUE 20% FL 6ML COLLYRE";"(sans)";"flac c-gtt";"flacon(s) compte-gouttes"
17194;"MELATONINE 2 MG/ML FL 30 ML SUSP BUV";"(sans)";"flac";"flacon(s)"
19324;"AMOX-AC CLAV 500 mg/62.5 mg EG, ad, cpr";"(sans)";"cpr";"comprimé(s)"
17227;"NOVALAC ALLERNOVA PDR 400G *";"(sans)";"pot";"pot(s)"
17515;"CICLOSPORINE 10 MG/ML 1% FL 5ML COLLYRE";"(sans)";"flac";"flacon(s)"
29613;"CARNET DE SUIVI CLOZAPINE";"(sans)";"CARNET";"carnet(s)"
18080;"MODIODAL 100 mg, cpr";"(sans)";"cpr";"comprimé(s)"
18093;"MICROLAX, bébé, sol rect, récipient unidose 3 mL";"(sans)";"lavmt";"lavement"
18165;"AVONEX 30 ug/0.5 mL, sol inj, stylo";"(sans)";"stylo_prr";"stylo(s) pré-rempli(s)"
19142;"CO-RENITEC 20 mg/12.5 mg, cpr";"(sans)";"cpr";"comprimé(s)"
21008;"CERTICAN 0.1 mg, cpr dispersible";"(sans)";"cpr";"comprimé(s)"
20568;"CELLULOSE MICROCRISTALLINE +AG+ZN+ CU+MN ASSECHANT 100ML SOL SENSIMYL";"(sans)";"flac";"flacon(s)"
30447;"GYNO DAKTARIN 400MG CAPSULE VAGINALE *";"(sans)";"-1";"(sans)"
34251;"INTRATECT 2.5 g/50 mL, sol pr perf, flac";"(sans)";"flac";"flacon(s)"
21974;"DEXAMETHASONE 1MG/ML SUSPENSION BUVABLE FLACON 30ML";"(sans)";"flac";"flacon(s)"
22220;"AMIODARONE 20 MG/ML SUSPENSION BUVABLE";"(sans)";"flac";"flacon(s)"
39675;"PLACEBO BLANC GELULE";"(sans)";"-1";"(sans)"
23772;"FLUVOXAMINE 50 mg ARROW, cpr séc";"(sans)";"cpr";"comprimé(s)"
24080;"UREE 15G SACHET";"(sans)";"sachet";"sachet(s)-dose"
24164;"ZAVEDOS 5 mg, pdr pr sol pr perf";"(sans)";"flac";"flacon(s)"
23639;"MYCOSTER 8%, sol filmogène pr appli cutanée, flac 3 mL";"(sans)";"appln";"application(s)"
23634;"CEFTAZIDIME 20MG/ML 2% COLLYRE 10ML";"(sans)";"flac";"flacon(s)"
24616;"EXEMESTANE 25 mg ZENTIVA, cpr";"(sans)";"cpr";"comprimé(s)"
24056;"PHOSPHOSORB 660 mg, cpr";"(sans)";"cpr";"comprimé(s)"
23991;"POUDRE EPAISSISSANTE CLINUTREN THICKEN UP 250G";"(sans)";"boite";"boîte(s)"
38136;"PRODUIT FACTURATION ACTE RETROCESSION CANNABIS THERAPEUTIQUE";"(sans)";"-1";"(sans)"
24610;"ERYFLUID 4%, lotion, flac 100 mL";"(sans)";"appln";"application(s)"
26113;"INORIAL 20 mg, cpr";"(sans)";"cpr";"comprimé(s)"
25439;"DIMETICONE 4% FL 100 ML LOTION POUXIT XF";"(sans)";"flac";"flacon(s)"
25785;"ACIDES AMINES ALFAMINO BOITE 400G 124332762";"(sans)";"boite";"boîte(s)"
38821;"PETIT BEURRE 110 MG, 250 MG, 520 MG, 1040 MG, 2080 MG, 4150 MG SACHETS";"(sans)";"sachet";"sachet(s)-dose"
25440;"HYALORONATE DE SODIUM 0.18% UNIDOSE SOL OCULAIRE VISMED";"(sans)";"dose";"dose(s)"
39319;"ELUGEL GEL BUCCAL TB 40ML";"(sans)";"-1";"(sans)"
29224;"CYTARABINE 20MG SER INJ SC PREPARATION";"(sans)";"ser";"seringue(s)"
32487;"AMLODIPINE 1 MG/ML SUSP BUV 60 ML";"(sans)";"flac";"flacon(s)"
27342;"CEFPODOXIME 100 mg ARROW LAB, cpr";"(sans)";"cpr";"comprimé(s)"
27445;"XALKORI 250 mg, gélule";"(sans)";"gel";"gélule(s)"
37382;"SOLUTION VISCOELASTIQUE TWINVISC";"(sans)";"amp";"ampoule(s)"
35264;"EVUSHELD 150 mg/1.5 mL & 150 mg/1.5 mL, sol inj, flac & flac";"(sans)";"flac";"flacon(s)"
36782;"ACTISKENAN 2.5 mg, cpr orodispersible";"(sans)";"cpr";"comprimé(s)"
36784;"ACTISKENAN 1 mg, cpr orodispersible";"(sans)";"cpr";"comprimé(s)"
29606;"CLONIDINE 10 MCG/ML FL 60 ML SUSP BUV";"(sans)";"flac";"flacon(s)"
29342;"METOPROLOL 50 mg ARROW LAB, cpr séc";"(sans)";"cpr";"comprimé(s)"
29355;"TEMOZOLOMIDE 10MG/ML FL 60ML SUSP BUV";"(sans)";"flac";"flacon(s)"
30074;"PREPARATION INTRATHECALE ANTALGIQUE ICO ANGERS";"(sans)";"ser";"seringue(s)"
30600;"VERRUXIT AERO VERRUE FL 50ML *";"(sans)";"-1";"(sans)"
30856;"PERIACTINE 4MG CPR *";"(sans)";"-1";"(sans)"
31436;"QUINAGOLIDE 25MCG ET 50MCG CP NORPROLAC *";"(sans)";"-1";"(sans)"
38783;"PLACEBO COMPRIMES BLANCS CP 8";"(sans)";"-1";"(sans)"
31110;"KERATOSANE 30% GEL CREME TUBE 40ML *";"(sans)";"tube";"tube(s)"
31079;"RESOLOR 1MG CPR *";"(sans)";"-1";"(sans)"
30855;"PIROTIFENE 0.5MG CPR  SANMIGRAN*";"(sans)";"-1";"(sans)"
31348;"ETOPOSIDE 500MG/25ML FL INJ IV PERF";"(sans)";"flac";"flacon(s)"
30963;"PARACETAMOL 1000MG PDR BUV SACHET *";"(sans)";"-1";"(sans)"
30693;"CHLORHEXIDINE AQUEUSE STERILE 0.2% GILBERT, sol pr appli cutanée, récipient unidose 5 mL";"(sans)";"appln";"application(s)"
31526;"ALCOOL ETHYLIQUE A 96° 25L";"(sans)";"flac";"flacon(s)"
34729;"BETAXOLOL SACHET";"(sans)";"sachet";"sachet(s)-dose"
36659;"NUTRITION ENT ENFANT 1-6 ANS NUTRINI ENERGY 1.5 KCAL MULTI FIBRES POCHE 500ML 132183";"(sans)";"poche";"poche(s)"
31489;"CYTARABINE 500MG/10ML FL INJ IV PERF";"(sans)";"flac";"flacon(s)"
34732;"CARMIN 200 MG GELULE";"(sans)";"gel";"gélule(s)"
34736;"NOISETTE 1 MG, 5 MG, 10MG, 25 MG, 50 MG, 100 MG, 200 MG, 500 MG, 1 G, 2 G, 5 G , 15 G SACHETS";"(sans)";"sachet";"sachet(s)-dose"
34739;"PISTACHE 1 MG, 5 MG, 10 MG, 25 MG, 50 MG, 100 MG, 200 MG, 500 MG, 1 G, 2 G, 5 G , 15 G SACHETS";"(sans)";"sachet";"sachet(s)-dose"
33405;"EDTA 2,2% COLLYRE 10 ML";"(sans)";"flac";"flacon(s)"
33886;"ETESEVIMAB 700 mg/20 mL, sol à diluer pr perf, flac";"(sans)";"flac";"flacon(s)"
34044;"INTERLEUKINE7  2 MG/ML FL INJ CYT 107";"(sans)";"flac";"flacon(s)"
34186;"AMPHOTERICINE B+GENTAMICINE+COLISTINE BUV FL 60ML DECONTAMINATION DIGESTIVE SELECTIVE";"(sans)";"flac";"flacon(s)"
35719;"SODIUM CHLORURE APHP 20% 100 G/500 ML FL";"(sans)";"-1";"(sans)"
35762;"PERMANGANATE POTASSIUM 0,5G SACHET APPLIC LOCALE*";"(sans)";"-1";"(sans)"
35022;"THC < 1% + CBD 12% FLEURS SECHEES FL 10 G AURORA 1/12 XPE";"(sans)";"flac";"flacon(s)"
34757;"LINEZOLIDE 100 MG/5 ML FL 150 ML GRANULE SUSP BUV ZYVOXID RECONSTITUTION";"(sans)";"-1";"(sans)"
35019;"THC 25 MG/ML+ CBD  25 MG/ML HUILE BUV FL 30 ML NAXIVA-PANAXIR T25C25";"(sans)";"flac";"flacon(s)"
35450;"SRO NUTRIBEN SACHET 5,6 G";"(sans)";"sachet";"sachet(s)-dose"
35696;"NOIX  5 MG, 10 MG, 25 MG, 50 MG, 100 MG, 200 MG,300 MG, 500 MG, 1 G  SACHETS";"(sans)";"-1";"(sans)"
35149;"THC 0 MG/ML + CBD 50 MG/ML HUILE BUV  FL 50 ML CBD 50 LGP CLASSIC";"(sans)";"-1";"(sans)"
35977;"SOTALOL SACHET";"(sans)";"cpr";"comprimé(s)"
35723;"ACIDES AMINES AMINA NOVALAC BOITE 400G";"(sans)";"boite";"boîte(s)"
34780;"BICARBONATE SODIUM 100 MG GELULE";"(sans)";"-1";"(sans)"
35469;"FARINE DE BLE 0;5G, 1 G, 2 G ET  4 G  SACHETS";"(sans)";"-1";"(sans)"
35040;"ARACHIDE1 MG, 5 MG, 10 MG, 30 MG, 50 MG, 100 MG, 200 MG, 400 MG, 800 MG, 1,6 G, 3,2 G, 12 G SACHETS";"(sans)";"-1";"(sans)"
36269;"NUTRITION ENT ENFANT < 1 AN SEMI ELEMENTAIRE FL 200 ML INFATRINI PEPTISORB";"(sans)";"flac";"flacon(s)"
35471;"ETOPOSIDE SOLUTION BUVABLE 20 MG/ML FL 50 ML";"(sans)";"flac";"flacon(s)"
36507;"CICAPLAST BAUME B5+ 100ML *";"(sans)";"-1";"(sans)"
37751;"GEL HYDROALCOOLIQUE ANIOSGEL 800  AIRLESS LITRE 2550333UG";"(sans)";"flac";"flacon(s)"
37752;"GEL HYDROALCOOLIQUE ANIOSGEL 800 100ML 2550505";"(sans)";"flac";"flacon(s)"
37557;"CERAVE HUILE LAVANTE MOUSSANTE *";"(sans)";"-1";"(sans)"
36479;"ATROPINE SULFATE 0,1 MG/ML 0,01% COLLYRE FL 10ML";"(sans)";"flac";"flacon(s)"
37822;"THC 1 MG/ML + CBD 20 MG/ML HUILE BUV  FL 15 ML 1:20 LGP CLASSIC";"(sans)";"-1";"(sans)"
37188;"CHLORHEXIDINE GLUCONATE 0,02% COLLYRE FL 10ML";"(sans)";"flac";"flacon(s)"
37781;"DEXAMETHASONE 20 MG GELULE";"(sans)";"gel";"gélule(s)"
37782;"DEXAMETHASONE 10 MG GELULE";"(sans)";"gel";"gélule(s)"
37750;"GEL HYDROALCOOLIQUE ANIOSGEL 800  500ML 2550748UG";"(sans)";"flac";"flacon(s)"
38103;"THC < 3  MG/ML + CBD 50 MG/ML HUILE BUV  FL 30 ML PANAXIR CBD50";"(sans)";"-1";"(sans)"
38277;"MICROBIOTE FECAL GELULES APHP ST ANTOINE (PREPARATION HOSPITALIERE)";"(sans)";"gel";"gélule(s)"
38278;"MICROBIOTE FECAL SOLUTION PR SONDE NASODUODENALE 100 ML APHP ST ANTOINE (PREPARATION HOSPITALIERE)";"(sans)";"ser_prr";"seringue(s) pré-remplie(s)"
37922;"POUDRE ORALE DE PROTEINES POT 500 G PROTIFAR *";"(sans)";"-1";"(sans)"
39797;"SODIUM CHLORURE 0,9 % 50 ML FL VERSABLE REF 612876";"(sans)";"-1";"(sans)"
38665;"ACETAZOLAMIDE 25 MG/ML SUSP BUV 60 ML";"(sans)";"flac";"flacon(s)"
39863;"ALLERGIE / INTOLERANCE";"(sans)";"-1";"(sans)"
39864;"CONTROLE INR";"(sans)";"-1";"(sans)"
39865;"MEDICAMENTS ECRASES";"(sans)";"-1";"(sans)"
39866;"OXYGENOTHERAPIE PAR EXTRACTEUR";"(sans)";"-1";"(sans)"
39867;"PROTOCOLE TPN CLASSIQUE";"(sans)";"-1";"(sans)"
39868;"TRAITEMENT CPR ECRASE";"(sans)";"-1";"(sans)"
39869;"OXYGENE";"(sans)";"-1";"(sans)"
39870;"SCELLE JAUNE";"(sans)";"-1";"(sans)"
39871;"COMPLEMENT ALIMENTAIRE";"(sans)";"-1";"(sans)"
39872;"REGIME SANS RESIDUS";"(sans)";"-1";"(sans)"
39873;"CONTROLE DE RAI dans 3 mois";"(sans)";"-1";"(sans)"
39874;"POCHE CGR 285 ml";"(sans)";"-1";"(sans)"
39875;"POCHE PLAQUETTES 450ML";"(sans)";"-1";"(sans)"
39876;"CONTROLE PLAIE";"(sans)";"-1";"(sans)"
47;"NEFOPAM 20 mg/2 mL VIATRIS, sol inj, amp";"NEFOPAM";"amp";"ampoule(s)"
475;"ATROPINE 0.3% ALCON, collyre, flac 10 mL";"ATROPINE";"flac";"flacon(s)"
476;"ATROPINE 1% FAURE, collyre, récipient unidose 0.4 mL";"ATROPINE";"gte";"goutte(s)"
5527;"SKIACOL 0.5%, collyre, récipient unidose 0.5 mL";"CYCLOPENTOLATE";"gte";"goutte(s)"
6702;"MYDRIATICUM 2 mg, collyre, récipient unidose 0.4 mL";"TROPICAMIDE";"rec_unidos";"récipient(s) unidose"
25857;"MYDRANE 0.04 mg/0.62 mg/2 mg/0.2 mL, sol inj, amp + set";"TROPICAMIDE EN ASSOCIATION";"amp";"ampoule(s)"
4203;"NEOSYNEPHRINE 10% FAURE, collyre, récipient unidose 0.4 mL";"PHENYLEPHRINE";"rec_unidos";"récipient(s) unidose"
20073;"NEOSYNEPHRINE 2.5% FAURE, collyre, récipient unidose 0.4 mL";"PHENYLEPHRINE";"rec_unidos";"récipient(s) unidose"
5988;"STERDEX, pommade ophtalmique, récipient unidose";"DEXAMETHASONE ET ANTIINFECTIEUX";"rec_unidos";"récipient(s) unidose"
6622;"TOBRADEX, collyre, flac 5 mL";"DEXAMETHASONE ET ANTIINFECTIEUX";"flac c-gttes";"flacon compte-gouttes"
31109;"IOPIDINE 1%, collyre, récipient unidose 0.25 mL";"APRACLONIDINE";"gte";"goutte(s)"
37876;"BRIMAZED 2 mg/mL, collyre, récipient unidose 0.35 mL";"BRIMONIDINE";"rec_unidose";"récipient unidose"
5989;"BORAX ACIDE BORIQUE 12 mg/18 mg/mL ARROW, sol pr lavage ophtalmique, récipient unidose 5 mL";"SODIUM BORATE";"lavg";"lavage"
1532;"CILOXAN 0.3%, collyre, flac 5 mL";"CIPROFLOXACINE";"flac c-gttes";"flacon compte-gouttes"
9870;"CILOXAN 0.3%, pommade ophtalmique, tube 3.5 g";"CIPROFLOXACINE";"appln";"application(s)"
7523;"VITABACT 0.173 mg, collyre, récipient unidose 0.4 mL";"PICLOXYDINE";"gte";"goutte(s)"
10788;"MAXIDEX 0.1%, collyre, flac 3 mL";"DEXAMETHASONE";"flac";"flacon(s)"
31473;"OZURDEX 700 ug, implant intravitréen";"DEXAMETHASONE";"implant";"implant(s)"
20169;"DEXAFREE 1 mg/1 mL, collyre, récipient unidose 0.4 mL";"DEXAMETHASONE";"rec_unidos";"récipient(s) unidose"
9494;"FLUCON, collyre, flac 3 mL";"FLUOROMETHOLONE";"flac";"flacon(s)"
25442;"OCUFEN 0.03%, collyre, récipient unidose 0.4 mL";"FLURBIPROFENE";"rec_unidos";"récipient(s) unidose"
14452;"TOBREX 0.3%, collyre, flac 5 mL";"TOBRAMYCINE";"flac c-gttes";"flacon compte-gouttes"
22663;"TOBREX 0.3%, pommade ophtalmique, tube 5 g";"TOBRAMYCINE";"tube";"tube(s)"
5283;"RIFAMYCINE CHIBRET, collyre, flac 10 mL";"RIFAMYCINE";"flac c-gttes";"flacon compte-gouttes"
5284;"RIFAMYCINE CHIBRET, pommade ophtalmique, tube 5 g";"RIFAMYCINE";"tube";"tube(s)"
24707;"SEREVENT 25 ug/dose, susp pr inhal, flac 120 doses";"SALMETEROL";"flac_pres";"flacon(s) pressurisé(s)"
3101;"FORADIL 12 ug, pdr pr inhal en gélule";"FORMOTEROL";"gel";"gélule(s)"
12698;"BRONCHODUAL 50 ug/20 ug/dose, sol pr inhal, flac 200 doses";"FENOTEROL ET AUTRES ANTIASTHMATIQUES";"flac";"flacon(s)"
